SCO class/object property;Class/Object Property;UFO upper-level class in SCO;Sortality;Targer COSy class/objectproperty;UFO upper-level class in COSy;Sortality;Alignment ;Comments to the alignment;Alignment justification;
system history;Class;Event;Event;SystemBehavior;Event;Event;Equivalence;The focus is on history of systems, whatever the systems are. So, we can map these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “system history” class refers to the sum of the totality of events pertaining to a system across time and space. This is captured by the COSy class “SystemBehavior”. Thus, these classes are mapped as equivalent.;
complex system history;Class;Event;Event;SystemBehavior;Event;Event;Subclass;The focus is on history of systems, whatever the systems are. So, we can map directly these classes without dealing with the fact that SCO and COSy diverge over functional roles of compoents.;SCO “system history” class refers to the sum of the totality of events pertaining to a system across time and space. This is captured by the COSy class “SystemBehavior”. Thus, these classes are mapped as equivalent.;
interaction;Class;Event;Event;DISC-O:Interaction;Event;Event;Subclass;The focus is on system interactions, whatever the systems are. So, we can map  these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter.;
interaction among system environment components;Class;Event;Event;--;;;No Correspondence;;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
interaction between system components and system environment components;Class;Event;Event;ComponentExternalInteraction;Event;Event;Equivalence;The focus is on system interactions, whatever the systems are. So, we can map  these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
interaction among system components;Class;Event;Event;ComponentInternalInteraction;Event;Event;Equivalence;The focus is on system interactions, whatever the systems are. So, we can map  these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
interaction among complex system components;Class;Event;Event;ComponentInternalInteraction;Event;Event;Subclass;Indirectly mapped through mapping upper-level classes. The focus is on system interactions, whatever the systems are. So, we can map  these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
interaction among complex system environment components;Class;Event;Event;--;;;No Correspondence;;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
interaction between complex system components and complex system environment components;Class;Event;Event;ComponentExternalInteraction;Event;Event;Subclass;Indirectly mapped trhough mapping upper-level classes. The focus is on system interactions, whatever the systems are. So, we can map  these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
situation of agency;Class;Situation;Situation;SystemSituation;Situation;Situation;Overlapping;Indirectly mapped trhough mapping upper-level classes. The focus is on systems situations, whatever the systems are. So, we can map these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;Although including a class for situations concerning the system, COSy does not include a related one for the system environment and related components. Agency situation classes can be mapped to COSy only with regard to the agency of system components. Specifically, such classes can be seen as subclasses of the COSy “SystemSituation“ class as this latter class refers in a broad sense to all situations that concern systems.;
situation of system environment component agency;Class;Situation;Situation;SystemSituation;Situation;Situation;No Correspondence;;Although including a class for situations concerning the system, COSy does not include a related one for the system environment and related components. Agency situation classes can be mapped to COSy only with regard to the agency of system components.;
situation of system component agency;Class;Situation;Situation;SystemSituation;Situation;Situation;Subclass;Indirectly mapped trhough mapping upper-level classes. The focus is on systems situations, whatever the systems are. So, we can map these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;Although including a class for situations concerning the system, COSy does not include a related one for the system environment and related components. Agency situation classes can be mapped to COSy only with regard to the agency of system components. Specifically, such classes can be seen as subclasses of the COSy “SystemSituation“ class as this latter class refers in a broad sense to all situations that concern systems.;
situation of complex system component agency;Class;Situation;Situation;SystemSituation;Situation;Situation;Subclass;Indirectly mapped trhough mapping upper-level classes. The focus is on systems situations, whatever the systems are. So, we can map these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;Although including a class for situations concerning the system, COSy does not include a related one for the system environment and related components. Agency situation classes can be mapped to COSy only with regard to the agency of system components. Specifically, such classes can be seen as subclasses of the COSy “SystemSituation“ class as this latter class refers in a broad sense to all situations that concern systems.;
situation of complex system environment component agency;Class;Situation;Situation;SystemSituation;Situation;Situation;No Correspondence;;Although including a class for situations concerning the system, COSy does not include a related one for the system environment and related components. Agency situation classes can be mapped to COSy only with regard to the agency of system components.;
complex system-complex system component parthood situation;Class;Situation;Situation;SystemCompositionSituation;Situation;Situation;Parthood;Indirectly mapped trhough mapping upper-level classes. The focus is on systems situations, whatever the systems are. So, we can map these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;Although including a class for the situation of system parthood, COSy does not include a class concerning the related system environment and components. Situation of parthood can be mapped to COSy only with regard to systems and system components. Specifically, the class “system-system component parthood situation” can be mapped using the “situation proper part of” object property to the “COSy SystemCompositionSituation” class because this COSy class identifies the configuration of all components of a system at a certain time. It is a complex situation composed of and of which are part all parthood situations at that certain time.;
system environment-system environment component parthood situation;Class;Situation;Situation;--;;;No Correspondence;;Although including a class for the situation of system parthood, COSy does not include a class concerning the related system environment and components. Situation of parthood can be mapped to COSy only with regard to systems and system components.Although including a class for the situation of system parthood, COSy does not include a class concerning the related system environment and components. Situation of parthood can be mapped to COSy only with regard to systems and system components. Specifically, the class “system-system component parthood situation” can be mapped using the “situation proper part of” object property to the “COSy SystemCompositionSituation” class because this COSy class identifies the configuration of all components of a system at a certain time. It is a complex situation composed of and of which are part all parthood situations at that certain time.; 
system-system component parthood situation;Class;Situation;Situation;SystemCompositionSituation;Situation;Situation;Parthood;The focus is on systems situations, whatever the systems are. So, we can map these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;Although including a class for the situation of system parthood, COSy does not include a class concerning the related system environment and components. Situation of parthood can be mapped to COSy only with regard to systems and system components. Specifically, the class “system-system component parthood situation” can be mapped using the “situation proper part of” object property to the “COSy SystemCompositionSituation” class because this COSy class identifies the configuration of all components of a system at a certain time. It is a complex situation composed of and of which are part all parthood situations at that certain time.;
complex system environment- complex system environment component parthood situation;Class;Situation;Situation;--;;;No Correspondence;;Although including a class for the situation of system parthood, COSy does not include a class concerning the related system environment and components. Situation of parthood can be mapped to COSy only with regard to systems and system components.Although including a class for the situation of system parthood, COSy does not include a class concerning the related system environment and components. Situation of parthood can be mapped to COSy only with regard to systems and system components. Specifically, the class “system-system component parthood situation” can be mapped using the “situation proper part of” object property to the “COSy SystemCompositionSituation” class because this COSy class identifies the configuration of all components of a system at a certain time. It is a complex situation composed of and of which are part all parthood situations at that certain time.;
situation of generical dependence of indicator value;Class;Situation;Situation;SystemSituation;Situation;Situation;No Correspondence;;COSy does not deal with information content entites and related bearers.;
situation of generical dependence of perspective information;Class;Situation;Situation;SystemSituation;Situation;Situation;No Correspondence;;COSy does not deal with information content entites and related bearers.;
situation of generical dependence of stakeholder perspective information;Class;Situation;Situation;SystemSituation;Situation;Situation;No Correspondence;;COSy does not deal with information content entites and related bearers.;
situation of generical dependence of worth information;Class;Situation;Situation;SystemSituation;Situation;Situation;No Correspondence;;COSy does not deal with information content entites and related bearers.;
perspective information content entity;Class;Aspect;SubKind;--;;;No Correspondence;;COSy does not deal with information content entites and related bearers.;
worth information content entity;Class;Aspect;SubKind;--;;;No Correspondence;;COSy does not deal with information content entites and related bearers.;
worth-role;Class;Aspect;Kind;--;;;No Correspondence;;Currently, SCOSy does not support a mapping for this class. It does so with respect to the class referring to the bearer of such a role. Mapping of this latter class is adequate for the present SCOSy model and purposes. Implementations are needed, possibly considering mapping towards the COSy class ” ComponentAspect”.;
system spatial region;Class;Aspect;Kind;--;;;No Correspondence;;COSy does not deal with spatial region.;
indicator value;Class;Aspect;Phase ;--;;;No Correspondence;;COSy does not deal with information content entites and related bearers.;
indicator-role;Class;Aspect;Kind;--;;;No Correspondence;;Currently, SCOSy does not support a mapping for this class. It does so with respect to the class referring to the bearer of such a role. Mapping of this latter class is adequate for the present SCOSy model and purposes. Implementations are needed, possibly considering mapping towards the COSy class ” ComponentAspect”.;
information content entity;Class;Aspect;Kind;--;;;No Correspondence;;COSy does not deal with information content entites and related bearers.;
stakeholder;Class;Object;RoleMixin;Component;Object;Category;Overlapping;Indirectly mapped through mapping upper-level classes.;"Both SCO and COSy interpret systems with respect to related components. Nevertheless, SCO adopts a generalist and neutral approach where a system is as such independently from the functions and roles played by its components, while COSy requires this grounding. The two ontologies also diverge in terms of type instantiation; the first sees system as a gUFO sortal while the second sees it as a gUFO non-sortal. We created an ad hoc class for functional systems (systems where components play different functional roles). It is a subclass of both the SCO “system” class and COSy “system” and instantiates the gUFO “role” class and COSy “system type” classes. The same approach has been applied to the SCO “system component” class and COSy “Component”, creating an ad hoc class for functional system components (components that are part of a functional system and play different functional roles). Subclass mapping has been addressed in the same manner in both cases, adjusting subsumption and instantiation to adequate gUFO classes.";
stakeholder perspective;Class;Aspect;Phase;--;;;Subclass;Indirectly mapped through mapping super-level class.;The SCO “perspective” class refers to dispositions that inherits in complex system components and related environment components. This class coverage overlaps with that of the COSy “ComponentDisposition” class with respect to the perspectives of complex system components because the COSy class refers to all possible dispositions of system components. We created an ad hoc class for perspectives of system components. It is a subclass of both the SCO “perspective” class and COSy “ComponentDisposition” and instantiates the gUFO “subkind” class.;
stakeholder perspective information content entity;Class;Aspect;Phase;--;;;No Correspondence;;COSy does not deal with information content entites and related bearers.;
stakeholder-role;Class;Aspect;Kind;--;;;No Correspondence;;Currently, SCOSy does not support a mapping for this class. It does so with respect to the class referring to the bearer of such a role. Mapping of this latter class is adequate for the present SCOSy model and purposes. Implementations are needed, possibly considering mapping towards the COSy class ” ComponentAspect”.;
complex system spatial region;Class;Aspect;SubKind;--;;;Subclass;;COSy does not deal with spatial region.;
indicator;Class;Object;RooleMixin;Component;Object;Category;Overlapping;Indirectly mapped through mapping upper-level classes.;"Both SCO and COSy interpret systems with respect to related components. Nevertheless, SCO adopts a generalist and neutral approach where a system is as such independently from the functions and roles played by its components, while COSy requires this grounding. The two ontologies also diverge in terms of type instantiation; the first sees system as a gUFO sortal while the second sees it as a gUFO non-sortal. We created an ad hoc class for functional systems (systems where components play different functional roles). It is a subclass of both the SCO “system” class and COSy “system” and instantiates the gUFO “role” class and COSy “system type” classes. The same approach has been applied to the SCO “system component” class and COSy “Component”, creating an ad hoc class for functional system components (components that are part of a functional system and play different functional roles). Subclass mapping has been addressed in the same manner in both cases, adjusting subsumption and instantiation to adequate gUFO classes.";
IOF:MaturityLevel;Class;---;--;--;;;No Correspondence;;This class is reused from the Industrial Ontology Foudry for annotation purposes. There is no need for mapping.;
representational information content entity;Class;Aspect;SubKind;--;;;No Correspondence;;COSy does not deal with information content entites and related bearers.;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
